group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
フラットバー,FB,12×350,,,12,,,bar,,33,,,
,,,,,,,,,,,,,
フラットバー,FB,16×25,,,16,,,bar,,3.14,,,
フラットバー,FB,16×32,,,16,,,bar,,4.02,,,
フラットバー,FB,16×38,,,16,,,bar,,4.77,,,
フラットバー,FB,16×44,,,16,,,bar,,5.53,,,
フラットバー,FB,16×50,,,16,,,bar,,6.28,,,
フラットバー,FB,16×65,,,16,,,bar,,8.16,,,
フラットバー,FB,16×75,,,16,,,bar,,9.42,,,
フラットバー,FB,16×90,,,16,,,bar,,11.3,,,
フラットバー,FB,16×100,,,16,,,bar,,12.6,,,
フラットバー,FB,16×125,,,16,,,bar,,15.7,,,
フラットバー,FB,16×150,,,16,,,bar,,18.8,,,
フラットバー,FB,16×200,,,16,,,bar,,25.1,,,
フラットバー,FB,16×250,,,16,,,bar,,31.4,,,
フラットバー,FB,16×300,,,16,,,bar,,37.7,,,
フラットバー,FB,16×350,,,16,,,bar,,44,,,
,,,,,,,,,,,,,
フラットバー,FB,19×32,,,19,,,bar,,4.77,,,
フラットバー,FB,19×38,,,19,,,bar,,5.65,,,
フラットバー,FB,19×44,,,19,,,bar,,6.56,,,
フラットバー,FB,19×50,,,19,,,bar,,7.46,,,
フラットバー,FB,19×65,,,19,,,bar,,9.69,,,
フラットバー,FB,19×75,,,19,,,bar,,11.2,,,
フラットバー,FB,19×90,,,19,,,bar,,13.4,,,
フラットバー,FB,19×100,,,19,,,bar,,14.9,,,
フラットバー,FB,19×125,,,19,,,bar,,18.6,,,
フラットバー,FB,19×150,,,19,,,bar,,22.4,,,
フラットバー,FB,19×200,,,19,,,bar,,29.8,,,
フラットバー,FB,19×250,,,19,,,bar,,37.3,,,
フラットバー,FB,19×300,,,19,,,bar,,44.7,,,
フラットバー,FB,19×350,,,19,,,bar,,52.2,,,
,,,,,,,,,,,,,
フラットバー,FB,22×50,,,22,,,bar,,8.64,,,
フラットバー,FB,22×65,,,22,,,bar,,11.2,,,
フラットバー,FB,22×75,,,22,,,bar,,13,,,
フラットバー,FB,22×90,,,22,,,bar,,15.5,,,
フラットバー,FB,22×100,,,22,,,bar,,17.3,,,
フラットバー,FB,22×125,,,22,,,bar,,21.6,,,
フラットバー,FB,22×150,,,22,,,bar,,25.9,,,
フラットバー,FB,22×200,,,22,,,bar,,34.5,,,
フラットバー,FB,22×250,,,22,,,bar,,43.2,,,
フラットバー,FB,22×300,,,22,,,bar,,51.8,,,
,,,,,,,,,,,,,
フラットバー,FB,25×50,,,25,,,bar,,9.84,,,
フラットバー,FB,25×65,,,25,,,bar,,12.8,,,
フラットバー,FB,25×75,,,25,,,bar,,14.7,,,
フラットバー,FB,25×90,,,25,,,bar,,17.7,,,
フラットバー,FB,25×100,,,25,,,bar,,19.6,,,
フラットバー,FB,25×125,,,25,,,bar,,24.5,,,
フラットバー,FB,25×150,,,25,,,bar,,29.4,,,
フラットバー,FB,25×200,,,25,,,bar,,39.2,,,
フラットバー,FB,25×250,,,25,,,bar,,49.1,,,
フラットバー,FB,25×300,,,25,,,bar,,58.9,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,1.6×19×19,,,,,,bar,5.5,0.939,,,
角パイプ(正方形）,STK,1.6×25×25,,,,,,bar,5.5,1.28,,,
角パイプ(正方形）,STK,1.6×28×28,,,,,,bar,5.5,1.44,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,1.6×32×32,,,,,,bar,5.5,1.62,,,
角パイプ(正方形）,STK,1.6×38×38,,,,,,bar,5.5,2.09,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,1.6×40×40,,,,,,bar,6,1.88,,,
角パイプ(正方形）,STK,2.3×40×40,,,,,,bar,6,2.62,,,
角パイプ(正方形）,STK,3.2×40×40,,,,,,bar,6,3.65,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,1.6×50×50,,,,,,bar,6,2.38,,,
角パイプ(正方形）,STK,2.3×50×50,,,,,,bar,6,3.34,,,
角パイプ(正方形）,STK,3.2×50×50,,,,,,bar,6,4.5,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,1.6×60×60,,,,,,bar,6,2.88,,,
角パイプ(正方形）,STK,2.3×60×60,,,,,,bar,6,4.06,,,
角パイプ(正方形）,STK,3.2×60×60,,,,,,bar,6,5.5,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,2.3×75×75,,,,,,bar,6,5.14,,,
角パイプ(正方形）,STK,3.2×75×75,,,,,,bar,6,7.01,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,2.3×100×100,,,,,,bar,6,6.95,,,
角パイプ(正方形）,STK,3.2×100×100,,,,,,bar,6,9.52,,,
角パイプ(正方形）,STK,4.5×100×100,,,,,,bar,6,13.1,,,
角パイプ(正方形）,STK,6.0×100×100,,,,,,bar,6,17,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,3.2×125×125,,,,,,bar,6,12,,,
角パイプ(正方形）,STK,4.5×125×125,,,,,,bar,6,16.6,,,
角パイプ(正方形）,STK,6.0×125×125,,,,,,bar,6,21.7,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,4.5×150×150,,,,,,bar,6,20.1,,,
角パイプ(正方形）,STK,5.0×150×150,,,,,,bar,6,22.3,,,
角パイプ(正方形）,STK,6.0×150×150,,,,,,bar,6,26.4,,,
,,,,,,,,,,,,,
角パイプ(正方形）,STK,6.0×175×175,,,,,,bar,6,31.1,,,
角パイプ(正方形）,STK,9.0×175×175,,,,,,bar,6,45.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
配管用鋼管(SGP/STPG),SGP,6A,10.5,6.5,2,,,bar,5.5,0.419,,,
配管用鋼管(SGP/STPG),SGP,8A,13.8,9.2,2.3,,,bar,5.5,0.652,,,
配管用鋼管(SGP/STPG),SGP,10A,17.3,12.7,2.3,,,bar,5.5,0.851,,,
配管用鋼管(SGP/STPG),SGP,15A,21.7,15.8,2.8,,,bar,5.5,1.31,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,20A,27.2,21.7,2.8,,,bar,5.5,1.68,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,25A,34,27.6,3.2,,,bar,5.5,2.43,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,32A,42.7,35.5,3.5,,,bar,5.5,3.38,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,40A,48.6,41.2,3.5,,,bar,5.5,3.89,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,50A,60.5,52.7,3.8,,,bar,5.5,5.31,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,65A,76.3,67.9,4.2,,,bar,5.5,7.47,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,80A,89.1,79.3,4.2,,,bar,5.5,8.79,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,90A,101.6,93.2,4.2,,,bar,5.5,10.1,,,
配管用鋼管(SGP/STPG),SGP,100A,114.3,102.3,4.5,,,bar,5.5,12.2,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,125A,139.8,127.8,4.5,,,bar,5.5,15,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,150A,165.2,153.2,5,,,bar,5.5,19.8,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,175A,190.7,180.1,5.3,,,bar,5.5,24.2,,,
配管用鋼管(SGP/STPG),SGP,200A,216.3,203.9,5.8,,,bar,5.5,30.1,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,250A,267.4,254.2,6.6,,,bar,5.5,42.4,JIS G3452,,
配管用鋼管(SGP/STPG),SGP,300A,318.5,304.7,6.9,,,bar,5.5,53,,,
配管用鋼管(SGP/STPG),SGP,350A,355.6,339.8,7.9,,,bar,5.5,67.7,,,
